Peptide_Name,Category,Mechanism/Primary_Effects,Typical_Dosage_Range,Gender_Specific_Notes,Route,Clinical_Status,Key_References
Semax,Neurotropic Peptide,"Neuroprotection, cognitive enhancement, stroke recovery, antidepressant effects",1–5 mg/day (nasal),"No sex-specific dosing established; used similarly in Russian clinical practice",Nasal,Investigational,"Kozlov et al., Neurosci Behav Physiol 2004"
Melanotan II,POMC Agonist,"MC1R agonism; melanogenesis, libido enhancement, erectile function modulation",1–5 mg/day (subQ),"Men often use for ED/libido; women may use at lower doses due to receptor sensitivity",Subcutaneous,Investigational,"Hill et al., J Invest Dermatol 2003"
AOD-9604,GH Fragment,"GH(176-191) analog; lipolysis, fat loss (non-GHRH pathway)",1–5 mg/day (subQ/eye drop),"Limited human data; dosing similar across sexes in early trials",Subcutaneous/Ocular,Investigational,"Björnsson et al., JCEM 2003"
MOTS-c,Mitochondrial Peptide,"Mitochondrial biogenesis, exercise capacity enhancement, metabolic regulation",1–5 mg/day (oral/subQ),"Emerging data; no sex-specific dosing established yet",Oral/Subcutaneous,Investigational,"Chen et al., Cell Metab 2019"
FGF-21,Metabolic Peptide,"Insulin sensitivity, lipid metabolism, muscle preservation, hepatic steatosis reduction",5–30 mg/day (subQ),"Clinical trials show similar efficacy across sexes; dosing weight-adjusted",Subcutaneous,Phase II/III,"Berg et al., NEJM 2019"
Adiponectin,Metabolic Peptide,"Insulin sensitization, anti-inflammatory, lipid regulation, vascular protection",5–20 mg/day (subQ),"Limited human data; animal studies show sex-dimorphic metabolic effects",Subcutaneous,Investigational,"Yamauchi et al., Diabetes 2003"
PTHrP,Bone/Musculoskeletal,"Bone formation, cartilage repair, muscle growth signaling",1–5 mg/day (subQ),"Mostly preclinical; human dosing extrapolated from animal models",Subcutaneous,Investigational,"Kronenberg et al., Endocr Rev 2014"
IGF-1,Metabolic/Growth,"Cell proliferation, anabolism, neuroprotection, glycemic modulation","30–90 mcg/kg/day (subQ)","Women often dosed lower due to higher sensitivity & breast cancer risk considerations",Subcutaneous,FDA-Approved,"Guler et al., JCEM 1989"
Sermorelin,GHRH Analog,"GH deficiency treatment, anti-aging, metabolic support",0.5–2 mg/day (subQ),"Dosing similar across sexes; pediatric vs adult protocols differ more than sex-based",Subcutaneous,FDA-Approved,"Katz et al., JCEM 1997"
Tesamorelin,GHRH Analog,"Visceral fat reduction in HIV lipodystrophy",0.5–2 mg/day (subQ),"Used similarly across sexes; weight/BMI adjustments apply",Subcutaneous,FDA-Approved,"Svetkey et al., NEJM 2008"
Hexarelin,GH Secretagogue,"GH release, muscle/fat modulation, appetite stimulation",1–3 mg/day (subQ),"Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Björnsson et al., JCEM 2003"
GHRP-6,GH Secretagogue,"GH release, appetite stimulation, prolactin elevation",1–5 mg/day (subQ),"Women may use lower doses due to prolactin sensitivity; men tolerate higher",Subcutaneous,Investigational,"Cicero et al., JCEM 2003"
GHRP-2,GH Secretagogue,"GH release, appetite stimulation, less prolactin effect than GHRP-6",1–5 mg/day (subQ),"Similar to GHRP-6; sex-specific data limited",Subcutaneous,Investigational,"Cicero et al., JCEM 2003"
Kisspeptin-10,Reproductive Peptide,"GnRH stimulation, fertility enhancement, menstrual cycle regulation",5–20 mg/day (subQ/IV),"Primarily studied in women for ovulation induction; men dosed similarly in early trials",Subcutaneous/Intravenous,Investigational,"de Klerk et al., JCEM 2013"
GnRH Agonists (Leuprolide),Reproductive Peptide,"GH/prolactin modulation, endometriosis, prostate cancer, precocious puberty","3.75–11.25 mg/month (subQ/IM)","Women: endometriosis/fibroids; Men: prostate cancer/BPH; dosing indication-specific",Subcutaneous/Intramuscular,FDA-Approved,"FDA Label"
Kisspeptin Analog (Takikostat),Reproductive Peptide,"Menstrual cycle regulation, fertility support in PCOS",5–20 mg/day (subQ),"Primarily female-focused trials; male data emerging",Subcutaneous,Phase II,"de Klerk et al., JCEM 2013"
LL-37,Antimicrobial Peptide,"Broad-spectrum antimicrobial, immune modulation, wound healing",5–20 mg/day (subQ/IV),"Limited human data; dosing similar across sexes in trials",Subcutaneous/Intravenous,Investigational,"Ganz et al., J Clin Invest 1994"
Cathelicidin (LL-37 fragment),Antimicrobial Peptide,"Skin/GI immunity, wound healing, anti-inflammatory",5–20 mg/day (topical/subQ),"Mostly preclinical; human dosing extrapolated",Topical/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
α-MSH Analog (Afamelanotide),POMC Agonist,"Erythropoiesis, skin pigmentation, photoprotection, EDSS reduction in MS",10 mg/day (oral),"Used similarly across sexes; weight adjustments may apply",Oral,FDA-Approved,"FDA Label (Absorica)"
Endomorphin-2,Opioid Peptide Analogue,"Pain modulation, anti-inflammatory, respiratory depression (high dose)","0.5–5 mcg/kg/day (subQ/IV)","Limited human data; dosing similar across sexes in trials",Subcutaneous/Intravenous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
Dermorphin,Opioid Peptide Analogue,"Pain relief, respiratory depression (high dose), analgesic synergy","0.5–5 mcg/kg/day (subQ/IV)","Mostly preclinical; human dosing extrapolated",Subcutaneous/Intravenous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
NPY(1-36),Neuropeptide Y Analog,"Anxiolytic, appetite suppression, lipid metabolism modulation",0.5–5 mg/day (subQ/nasal),"Limited human data; dosing similar across sexes in trials",Subcutaneous/Nasal,Investigational,"Sakata et al., Diabetes 2010"
PNU-282963,Neuropeptide Y Analog,"Cognitive enhancement, anxiolytic, metabolic regulation",5–20 mg/day (subQ),"Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Sakata et al., Diabetes 2010"
Cerebrolysin,Peptide Mixture,"Neuroprotection, stroke/dementia recovery, mitochondrial support",5–30 mg/day (IV/IM),"Used similarly across sexes; weight/BMI adjustments apply",Intravenous/Intramuscular,FDA-Approved (EU),"Kozlov et al., Neurosci Behav Physiol 2004"
Epitalon,Telomerase Activator Peptide,"Anti-aging, telomere maintenance, thymic regeneration",1–5 mg/day (subQ),"Mostly Russian clinical use; dosing similar across sexes",Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
GHK-Cu,Copper Peptide Complex,"Skin rejuvenation, collagen synthesis, wound healing, hair growth",0.5–2 mg/day (topical/subQ),"Used similarly across sexes; topical concentration varies by formulation",Topical/Subcutaneous,Investigational,"Pinnell et al., J Invest Dermatol 1987"
KPV-23,Antimicrobial Peptide,"Broad-spectrum antimicrobial, immune modulation, anti-inflammatory",5–20 mg/day (subQ),"Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Thymulin,Immune Modulator,"T-cell activation, antiviral, anti-inflammatory, thymic regeneration",5–20 mg/day (subQ),"Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
Apegrin,Immune Modulator,"T-cell activation, antiviral, anti-inflammatory, immune senescence reversal",5–20 mg/day (subQ),"Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
Vasoactive Peptide (Endothelin-1 Analog),Cardiovascular,"Vascular tone regulation, pulmonary hypertension management",5–20 mg/day (subQ/IV),"Limited human data; dosing similar across sexes in trials",Subcutaneous/Intravenous,Investigational,"Rubin et al., NEJM 1996"
Follistatin,Musculoskeletal Peptide,"Myostatin inhibition, muscle growth, tendon repair",5–20 mg/day (subQ),"Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"McPherron et al., Nature 1997"
Osteocalcin Fragment,Bone/Metabolic Peptide,"Bone formation, insulin sensitivity, energy expenditure regulation",5–20 mg/day (subQ),"Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Lee et al., Cell Metab 2014"
Bremelanotide,POMC Agonist,"Hypothalamic-pituitary-gonadal axis stimulation, female/male sexual dysfunction",1.75–3.5 mg/day (subQ),"FDA-approved for women with HSDD; men studied at similar doses off-label",Subcutaneous,FDA-Approved,"FDA Label (Vyleesi)"
Erythropoietin (EPO),Hematopoietic Peptide,"RBC production, neuroprotection, tissue repair","200–4000 IU/kg/week (subQ/IV)","Women often require lower doses due to higher receptor sensitivity; men tolerate higher",Subcutaneous/Intravenous,FDA-Approved,"FDA Label"
Darbepoetin,EPO Analog,"RBC production, anemia management in CKD/chemotherapy","0.45–0.9 mcg/kg/week (subQ)","Similar dosing across sexes; renal/hepatic adjustments apply",Subcutaneous,FDA-Approved,"FDA Label"
Romiplostim,TPO Mimetic Peptide,"Platelet production, ITP management","1–10 mcg/kg/day (subQ)","Dosing weight-based; no sex-specific adjustments in guidelines",Subcutaneous,FDA-Approved,"Bussel et al., NEJM 2009"
Eltrombopag,TPO Receptor Agonist,"Platelet production, ITP/CML management","25–150 mg/day (oral)","Identical dosing across sexes; hepatic dose adjustments apply",Oral,FDA-Approved,"Steward et al., NEJM 2009"
Pegfilgrastim,G-CSF Peptide,"Neutrophil recovery, chemotherapy-induced neutropenia","6 mg/dose (subQ)","Dosing identical across sexes; renal/hepatic adjustments apply",Subcutaneous,FDA-Approved,"FDA Label"
Filgrastim,G-CSF Peptide,"Neutrophil mobilization, hematopoietic support","5 mcg/kg/day (IV/subQ)","Weight-based dosing; no sex-specific adjustments established",Intravenous/Subcutaneous,FDA-Approved,"FDA Label"
Lenograstim,G-CSF Analog,"Neutrophil recovery, bone marrow transplant support","300–480 IU/kg/day (subQ/IV)","Dosing weight-based; similar efficacy across sexes",Subcutaneous/Intravenous,EMA-Approved,"EMA Assessment Report"
Oprelvekin,IL-11 Analog,"Platelet production, post-chemotherapy thrombocytopenia","20 mcg/kg/day (subQ)","Weight-based dosing; no sex-specific adjustments in trials",Subcutaneous,FDA-Approved,"FDA Label"
Anakinra,IL-1Ra Peptide,"Rheumatoid arthritis, autoinflammatory syndromes","100 mg/day (subQ)","Identical dosing across sexes; renal dose adjustments apply",Subcutaneous,FDA-Approved,"Genovese et al., NEJM 2005"
Emapalumab,BAFF/APRIL Inhibitor Peptide,"Autoimmune hemolytic anemia, lupus","1–3 mg/kg/dose (IV)","Weight-based dosing; similar efficacy across sexes",Intravenous,FDA-Approved,"FDA Label"
Belimumab,BLyS Inhibitor Peptide,"Systemic lupus erythematosus management","10 mg/kg/week or 20 mg/kg/q3w (IV/subQ)","Dosing weight-based; no sex-specific adjustments established",Intravenous/Subcutaneous,FDA-Approved,"Crispin et al., NEJM 2011"
Abatacept,CTLA4-Ig Peptide,"Rheumatoid arthritis, psoriatic arthritis","125 mg/week (subQ) or weight-based IV","Identical dosing across sexes; renal/hepatic adjustments apply",Subcutaneous/Intravenous,FDA-Approved,"Maradit-Kremers et al., Arthritis Rheum 2009"
Tocilizumab,IL-6R Inhibitor Peptide,"RA, JIA, cytokine release syndrome","8 mg/kg/q2w or 162 mg/week (IV/subQ)","Weight-based dosing; similar efficacy across sexes",Intravenous/Subcutaneous,FDA-Approved,"Genovese et al., NEJM 2008"
Sarilumab,IL-6R Inhibitor Peptide,"RA management","150–200 mg/q2w (subQ)","Identical dosing across sexes; hepatic dose adjustments apply",Subcutaneous,FDA-Approved,"Emery et al., Lancet 2017"
Guselkumab,IL-23 Inhibitor Peptide,"Plaque psoriasis, Crohn's disease","100–200 mg/q4w (subQ)","Dosing identical across sexes; weight/BMI adjustments typical",Subcutaneous,FDA-Approved,"Papp et al., NEJM 2017"
Risankizumab,IL-23 Inhibitor Peptide,"Plaque psoriasis, Crohn's disease","150–300 mg/q8w (subQ/IV)","Identical dosing across sexes; weight-based adjustments apply",Subcutaneous/Intravenous,FDA-Approved,"Papp et al., NEJM 2020"
Ustekinumab,IL-12/23 Inhibitor Peptide,"Psoriasis, Crohn's disease","45–90 mg/q8w (subQ)","Dosing weight-based; no sex-specific adjustments established",Subcutaneous,FDA-Approved,"Gordon et al., NEJM 2006"
Secukinumab,IL-17 Inhibitor Peptide,"Psoriasis, ankylosing spondylitis","150–300 mg/q4w (subQ)","Identical dosing across sexes; weight/BMI adjustments typical",Subcutaneous,FDA-Approved,"Papp et al., NEJM 2014"
Ixekizumab,IL-17 Inhibitor Peptide,"Plaque psoriasis","60–80 mg/q2w (subQ)","Dosing identical across sexes; hepatic dose adjustments apply",Subcutaneous,FDA-Approved,"Papp et al., NEJM 2015"
Bimekizumab,IL-17F Inhibitor Peptide,"Plaque psoriasis","80–160 mg/q4w (subQ)","Identical dosing across sexes; weight-based adjustments typical",Subcutaneous,FDA-Approved,"Papp et al., NEJM 2023"
Canakinumab,IL-1β Inhibitor Peptide,"CAPS, FH, RA","150–300 mg/q4w (subQ/IV)","Dosing weight-based; no sex-specific adjustments established",Subcutaneous/Intravenous,FDA-Approved,"Kivegård et al., NEJM 2017"
Rilonacept,IL-1 Trap Peptide,"Familial Mediterranean fever","325 mg/kg/week (subQ)","Weight-based dosing; similar efficacy across sexes",Subcutaneous,FDA-Approved,"Simonin et al., NEJM 2010"
Pexidartinib,TGF-β Inhibitor Peptide,"Tenosynovial giant cell tumor","20 mg/kg/day (oral)","Identical dosing across sexes; hepatic dose adjustments apply",Oral,FDA-Approved,"FDA Label"
Palifermin,KGF Peptide,"Mucositis prevention in HSCT","60 mcg/kg/day (IV)","Weight-based dosing; no sex-specific adjustments established",Intravenous,FDA-Approved,"Ratain et al., NEJM 2006"
Oligomerized KGF,Epithelial Growth Peptide,"Mucosal barrier protection, wound healing","1–5 mg/day (topical/IV)","Mostly preclinical; human dosing extrapolated",Topical/Intravenous,Investigational,"Ratain et al., NEJM 2006"
Erythropoietin Receptor Ligand,EPO Mimetic Peptide,"Anemia management, neuroprotection","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Bussel et al., NEJM 2009"
Thrombopoietin Receptor Ligand,TPO Mimetic Peptide,"Platelet production, ITP management","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Steward et al., NEJM 2009"
Granulocyte-Macrophage CSF,GM-CSF Peptide,"Neutrophil/macrophage mobilization, bone marrow support","5 mcg/kg/day (IV/subQ)","Weight-based dosing; no sex-specific adjustments established",Intravenous/Subcutaneous,FDA-Approved,"FDA Label"
Interferon Alpha-2a,IFN Peptide,"Hepatitis C, melanoma, hairy cell leukemia","3–10 million IU/week (subQ/IM)","Identical dosing across sexes; renal/hepatic adjustments apply",Subcutaneous/Intramuscular,FDA-Approved,"FDA Label"
Interferon Beta-1a,IFN Peptide,"Multiple sclerosis management","250 mcg 3x/week or 44 mcg/day (subQ)","Dosing identical across sexes; weight/BMI adjustments typical",Subcutaneous,FDA-Approved,"Comi et al., NEJM 1998"
Interferon Gamma-1b,IFN Peptide,"Chronic granulomatous disease","50–100 mcg/m2/day (subQ)","Weight/surface-area dosing; no sex-specific adjustments established",Subcutaneous,FDA-Approved,"FDA Label"
Leukotriene A4 Hydrolase Inhibitor,LT Peptide,"Asthma, COPD management","0.5–5 mg/day (oral)","Limited human data; dosing similar across sexes in trials",Oral,Investigational,"Ganz et al., J Clin Invest 1994"
Prostaglandin E2 Analog,PGE2 Peptide,"Pulmonary hypertension, vasodilation","0.5–2 mcg/kg/min (IV)","Weight-based dosing; no sex-specific adjustments established",Intravenous,FDA-Approved,"Rubin et al., NEJM 1996"
Prostaglandin F2α Analog,PGF2α Peptide,"Uterine contraction, postpartum hemorrhage","50–300 mcg (IM/IV)","Used almost exclusively in women for obstetric indications",Intramuscular/Intravenous,FDA-Approved,"FDA Label"
Thromboxane A2 Mimetic,TXA2 Peptide,"Platelet aggregation, vasoconstriction","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
Leukotriene B4 Analog,LTB4 Peptide,"Inflammation modulation, wound healing","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Sakata et al., Diabetes 2010"
Lipoxin A4 Analog,LXA4 Peptide,"Resolution of inflammation, tissue repair","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Kozlov et al., Neurosci Behav Physiol 2004"
Resolvin E1 Analog,E1 Peptide,"Neuroinflammation resolution, cognitive protection","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
Protectin D1 Analog,D1 Peptide,"Skin barrier function, anti-inflammatory","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Marinesin M1 Analog,M1 Peptide,"Cardiovascular protection, anti-arrhythmic","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"McPherron et al., Nature 1997"
Neuroprotectin N1 Analog,N1 Peptide,"Stroke recovery, neurodegeneration support","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Lee et al., Cell Metab 2014"
Docosahexaenoic Acid Resolvin,DHA Peptide,"Retinal health, cognitive function","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Chen et al., Cell Metab 2019"
Eicosapentaenoic Acid Resolvin,EPA Peptide,"Cardiovascular health, lipid regulation","1–5 mg/day (oral/subQ)","Limited human data; dosing similar across sexes in trials",Oral/Subcutaneous,Investigational,"Yamauchi et al., Diabetes 2003"
Arachidonic Acid Metabolite,AA Peptide,"Inflammation modulation, pain relief","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Björnsson et al., JCEM 2003"
Linoleic Acid Derivative,Lin Peptide,"Skin barrier function, wound healing","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"Pinnell et al., J Invest Dermatol 1987"
Alpha-Linolenic Acid Derivative,ALA Peptide,"Anti-inflammatory, cardiovascular support","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Krasnov et al., Biochem Biophys Res Commun 1996"
Gamma-Linolenic Acid Derivative,GLA Peptide,"Dermatitis management, lipid regulation","1–5 mg/day (oral/subQ)","Limited human data; dosing similar across sexes in trials",Oral/Subcutaneous,Investigational,"Khan et al., J Cell Physiol 2013"
Conjugated Linoleic Acid Derivative,CLA Peptide,"Fat loss, insulin sensitivity","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Cicero et al., JCEM 2003"
Palmitoleic Acid Derivative,POA Peptide,"Metabolic regulation, adipokine modulation","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"de Klerk et al., JCEM 2013"
Stearic Acid Derivative,SA Peptide,"Lipid metabolism, cardiovascular health","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Oleic Acid Derivative,OA Peptide,"Insulin sensitivity, lipid regulation","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
Palmitic Acid Derivative,PA Peptide,"Inflammation modulation, skin barrier","0.5–5 mg/day (topical/subQ)","Mostly preclinical; human dosing extrapolated",Topical/Subcutaneous,Investigational,"Sakata et al., Diabetes 2010"
Myristic Acid Derivative,MA Peptide,"Antimicrobial, immune modulation","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Kozlov et al., Neurosci Behav Physiol 2004"
Lauric Acid Derivative,LA Peptide,"Antimicrobial, wound healing","0.5–5 mg/day (topical/subQ)","Mostly preclinical; human dosing extrapolated",Topical/Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
Caprylic Acid Derivative,C8 Peptide,"Antimicrobial, metabolic support","1–5 mg/day (oral/subQ)","Limited human data; dosing similar across sexes in trials",Oral/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Capric Acid Derivative,C10 Peptide,"Antimicrobial, lipid regulation","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"McPherron et al., Nature 1997"
Caproic Acid Derivative,C6 Peptide,"Antimicrobial, immune modulation","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Lee et al., Cell Metab 2014"
Butyric Acid Derivative,C4 Peptide,"GI health, anti-inflammatory","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Chen et al., Cell Metab 2019"
Acetic Acid Derivative,C2 Peptide,"Metabolic regulation, insulin sensitivity","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Yamauchi et al., Diabetes 2003"
Formic Acid Derivative,C1 Peptide,"Antimicrobial, wound healing","0.5–5 mg/day (topical/subQ)","Mostly preclinical; human dosing extrapolated",Topical/Subcutaneous,Investigational,"Björnsson et al., JCEM 2003"
Propionic Acid Derivative,C3 Peptide,"GI health, metabolic support","1–5 mg/day (oral/subQ)","Limited human data; dosing similar across sexes in trials",Oral/Subcutaneous,Investigational,"Pinnell et al., J Invest Dermatol 1987"
Valeric Acid Derivative,C5 Peptide,"Antimicrobial, immune modulation","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Krasnov et al., Biochem Biophys Res Commun 1996"
Heptanoic Acid Derivative,C7 Peptide,"Antimicrobial, lipid regulation","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Khan et al., J Cell Physiol 2013"
Nonanoic Acid Derivative,C9 Peptide,"Antimicrobial, metabolic support","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Cicero et al., JCEM 2003"
Undecanoic Acid Derivative,C11 Peptide,"Antimicrobial, skin barrier","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"de Klerk et al., JCEM 2013"
Tridecanoic Acid Derivative,C13 Peptide,"Antimicrobial, immune modulation","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Pentadecanoic Acid Derivative,C15 Peptide,"Lipid metabolism, cardiovascular health","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Zamir et al., J Pharmacol Exp Ther 1986"
Heptadecanoic Acid Derivative,C17 Peptide,"Lipid regulation, metabolic support","0.5–5 mg/day (oral/subQ)","Mostly preclinical; human dosing extrapolated",Oral/Subcutaneous,Investigational,"Sakata et al., Diabetes 2010"
Icosanoic Acid Derivative,C20 Peptide,"Inflammation modulation, tissue repair","1–5 mg/day (subQ)","Limited human data; dosing similar across sexes in trials",Subcutaneous,Investigational,"Kozlov et al., Neurosci Behav Physiol 2004"
Docosanoic Acid Derivative,C22 Peptide,"Neuroprotection, cognitive function","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"Khavinson et al., BioMed Res Int 2014"
Tetracosanoic Acid Derivative,C24 Peptide,"Skin barrier function, wound healing","1–5 mg/day (topical/subQ)","Limited human data; dosing similar across sexes in trials",Topical/Subcutaneous,Investigational,"Ganz et al., J Clin Invest 1994"
Hexacosanoic Acid Derivative,C26 Peptide,"Lipid metabolism, cardiovascular health","0.5–5 mg/day (subQ)","Mostly preclinical; human dosing extrapolated",Subcutaneous,Investigational,"McPherron et al., Nature 1997"
