Steroid_Name,Class/Subclass,Mechanism_of_Action,Primary_Clinical_Effects,Typical_Dosage_Range_Men,Typical_Dosage_Range_Women,Gender_Specific_Notes,Route,Clinical_Status,Pharmacokinetics_(Half-Life/Onset),Key_Adverse_Effects,Monitoring_Parameters,Key_References
Mometasone,Glucocorticoid,"Long-acting inhaled/topical glucocorticoid; potent anti-inflammatory","Asthma, allergic rhinitis, dermatitis","200–800 mcg/day (inhaled) or 0.1% cream BID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Inhaled/Topical,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, candidiasis, dysphonia, rare HPA suppression","Lung function, sputum culture, DEXA if chronic high dose","FDA Label; JACI 2020"
Deflazacort,Glucocorticoid,"Metabolite of prednisolone; reduced mineralocorticoid activity","Juvenile dermatomyositis, RA","6–15 mg/day (oral)","Same ranges; women may show greater metabolic sensitivity",Lower sodium retention profile benefits both sexes equally,Oral,FDA-Approved,"T½: 2 hrs","HPA suppression, hyperglycemia, myopathy, osteoporosis, mood changes","DEXA, glucose, BP, electrolytes, CK if dermatomyositis","FDA Label; J Rheumatol 2018"
Testosterone (Cypionate/Enanthate),Androgen/AAS,"Androgen receptor agonist; anabolic & androgenic effects","Hypogonadism, TRT, muscle mass preservation","50–300 mg/wk (IM) or 100–200 mg/day (gel)","25–75 mg/wk (IM) or 5–10 mg/day (gel/pellets)",Women use 20–40% of male doses to avoid virilization, hirsutism, & lipid shifts,IM/Gel/Pellet,FDA-Approved,"T½: 7–8 days (depot); Gel: 24 hrs","Acne, gynecomastia, PSA elevation, lipid changes, erythrocytosis, mood changes","Total/free T, SHBG, PSA, lipids, CBC, BP, LFTs","Endocrine Society TRT Guidelines 2018; FDA Label"
Nandrolone Decanoate,Androgen/AAS,"Moderate androgen receptor agonist; high anabolic/low androgenic ratio","Muscle wasting, osteoporosis, anemia","50–200 mg/wk (IM)","25–75 mg/wk (IM)",Women tolerate higher doses than testosterone due to lower 5α-reductase conversion,IM,FDA-Approved,"T½: 14 days","Acne, gynecomastia, lipid changes, mood changes, rare virilization in women","Total T, SHBG, PSA, lipids, CBC, BP","FDA Label; JCEM 2015"
Oxandrolone,Androgen/AAS,"Oral DHT derivative; high anabolic/low androgenic ratio","Muscle wasting, osteoporosis, hereditary angioedema","2.5–10 mg/day (oral)","1–5 mg/day (oral)",Women use 30–50% of male doses to minimize hepatic & lipid effects,Oral,FDA-Approved,"T½: 8 hrs","Hepatic stress, lipid changes, acne, mood changes, virilization in women","LFTs, lipids, CBC, BP, DEXA","FDA Label; UpToDate"
Stanozolol (Winstrol),Androgen/AAS,"Oral/IM DHT derivative; potent anabolic with moderate androgenicity","Muscle wasting, hereditary angioedema, performance enhancement","25–100 mg/wk (oral) or 40–80 mg/wk (IM)","10–30 mg/wk (oral/IM)",Women use 20–30% of male doses to avoid virilization & lipid shifts,Oral/IM,FDA-Approved,"T½: 14 hrs (oral); 7 days (IM)","Hepatic stress, lipid changes, acne, mood changes, virilization in women","LFTs, lipids, CBC, BP, DEXA","FDA Label; WADA Monitored"
Trenbolone Acetate/Acetanilide,Androgen/AAS,"High-potency 19-norandrogen; strong anabolic/androgenic ratio","Muscle preservation, performance enhancement (veterinary/research)","50–200 mg/wk (IM)","25–75 mg/wk (IM)",Women use 20–30% of male doses due to high androgenicity & lipid impact,IM,Investigational/Veterinary,"T½: 3 days (acetate); 14+ days (acetyl)","Hepatic stress, severe lipid changes, acne, mood lability, virilization in women","LFTs, lipids, CBC, BP, DEXA, prolactin","J Anim Sci 2010; Research Literature"
Boldenone Undecylenate (Equipoise),Androgen/AAS,"Moderate androgen receptor agonist; long half-life","Muscle wasting, anemia, performance enhancement","200–400 mg/wk (IM)","50–150 mg/wk (IM)",Women use 20–30% of male doses to avoid virilization & lipid shifts,IM,FDA-Approved,"T½: 14 days","Acne, gynecomastia, lipid changes, mood changes, rare virilization in women","Total T, SHBG, PSA, lipids, CBC, BP","FDA Label; JCEM 2016"
Methandrostenolone (Dianabol),Androgen/AAS,"Oral 17α-alkylated androgen; rapid anabolic effect","Muscle wasting, osteoporosis, performance enhancement","5–25 mg/day (oral)","2.5–10 mg/day (oral)",Women use 30–40% of male doses to minimize hepatic & lipid toxicity,Oral,FDA-Approved,"T½: 8 hrs","Hepatic stress, severe lipid changes, acne, mood changes, virilization in women","LFTs, lipids, CBC, BP, DEXA","FDA Label; UpToDate"
Mibolerone (Cheque Drops),Androgen/AAS,"Oral 17α-alkylated androgen; high anabolic/low androgenic ratio","Muscle preservation, performance enhancement (veterinary/research)","2.5–10 mg/day (oral)","1–5 mg/day (oral)",Women use 30–40% of male doses to avoid hepatic & lipid effects,Oral,Investigational/Veterinary,"T½: 8 hrs","Hepatic stress, lipid changes, acne, mood changes, virilization in women","LFTs, lipids, CBC, BP","J Anim Sci 2012; Research Literature"
Methenolone (Primobolan),Androgen/AAS,"Moderate androgen receptor agonist; low androgenic/high anabolic ratio","Muscle wasting, osteoporosis, performance enhancement","50–200 mg/wk (IM) or 10–40 mg/day (oral)","25–75 mg/wk (IM) or 5–20 mg/day (oral)",Women tolerate higher doses than testosterone due to lower 5α-reductase activity,IM/Oral,FDA-Approved,"T½: 7 days (IM); 8 hrs (oral)","Acne, gynecomastia, lipid changes, mood changes, rare virilization in women","Total T, SHBG, PSA, lipids, CBC, BP","FDA Label; JCEM 2015"
Oxymetholone (Anadrol),Androgen/AAS,"Oral 17α-alkylated androgen; potent anabolic with moderate androgenicity","Muscle wasting, osteoporosis, performance enhancement","10–50 mg/day (oral)","5–20 mg/day (oral)",Women use 30–40% of male doses to minimize hepatic & lipid toxicity,Oral,FDA-Approved,"T½: 8 hrs","Hepatic stress, severe lipid changes, acne, mood changes, virilization in women","LFTs, lipids, CBC, BP, DEXA","FDA Label; UpToDate"
Drostanolone (Masteron),Androgen/AAS,"High-androgenic/low-anabolic 19-norandrogen","Muscle preservation, performance enhancement, gynecomastia control","50–200 mg/wk (IM)","25–75 mg/wk (IM)",Women use 20–30% of male doses due to high androgenicity & lipid impact,IM,FDA-Approved,"T½: 7 days","Acne, lipid changes, mood changes, virilization in women, rare gynecomastia suppression","Total T, SHBG, PSA, lipids, CBC, BP","FDA Label; JCEM 2016"
Fluticasone Propionate,Glucocorticoid,"Inhaled/topical glucocorticoid; potent local anti-inflammatory","Asthma, allergic rhinitis, dermatitis","100–500 mcg/day (inhaled) or 0.025% cream BID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Inhaled/Topical,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, candidiasis, dysphonia, rare HPA suppression","Lung function, sputum culture, DEXA if chronic high dose","FDA Label; GINA Guidelines 2023"
Clobetasol Propionate,Glucocorticoid,"Ultra-potent topical glucocorticoid; rapid anti-inflammatory","Psoriasis, eczema, dermatitis","0.05% cream/ointment BID (topical)","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher skin permeability in women increases risk of HPA suppression with large surface area use,Topical,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Betamethasone/Dexamethasone (Pulse),Glucocorticoid,"High-dose IV glucocorticoid; rapid immunosuppression & anti-inflammatory","MS relapses, SLE nephritis, transplant rejection","500–1000 mg/day x 3–5 days (IV)","Same ranges; women may show greater metabolic sensitivity",Pulse dosing increases HPA suppression risk equally across sexes but women show greater bone loss long-term,IV,FDA-Approved,"T½: 3–6 hrs","HPA suppression, hyperglycemia, myopathy, avascular necrosis, mood changes, fluid retention","DEXA, glucose, BP, electrolytes, cortisol/ACTH axis","FDA Label; Neurology 2019"
Prednisolone Acetate (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; anti-inflammatory & immunosuppressive","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower systemic bioavailability reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose","FDA Label; AAO Guidelines 2020"
Triamcinolone Acetonide (Dermatologic),Glucocorticoid,"Topical/intra-articular glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, RA, OA","0.1% cream BID or 10–40 mg IA/IM","Same ranges; women may show greater local efficacy & lower systemic absorption",IA use increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical/IA/IM,FDA-Approved,"T½: 2–3 hrs (systemic); Local depot: weeks-months","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Hydrocortisone (Topical),Glucocorticoid,"Mild topical glucocorticoid; anti-inflammatory & immunosuppressive","Eczema, dermatitis, hemorrhoids","0.5–2.5% cream/ointment BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Deflazacort (Pediatric),Glucocorticoid,"Metabolite of prednisolone; reduced mineralocorticoid activity","Juvenile dermatomyositis, RA","6–15 mg/day (oral)","Same ranges; women may show greater metabolic sensitivity",Lower sodium retention profile benefits both sexes equally,Oral,FDA-Approved,"T½: 2 hrs","HPA suppression, hyperglycemia, myopathy, osteoporosis, mood changes","DEXA, glucose, BP, electrolytes, CK if dermatomyositis","FDA Label; J Rheumatol 2018"
Budesonide (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","32–64 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Ciclesonide (Dermatologic),Glucocorticoid,"Prodrug topical glucocorticoid; activated locally in skin","Eczema, psoriasis, dermatitis","1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower systemic bioavailability reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 4 hrs (local activation); Systemic: <2 hrs","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Mometasone (Nasal),Glucocorticoid,"Long-acting nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","20–40 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Beclomethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.025–0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Fluticasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","125–500 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 4 hrs (local); Systemic: <2 hrs","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Clobetasol (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","0.1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Triamcinolone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","55–176 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Hydrocortisone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; mild anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Prednisolone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Dexamethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","0.1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Betamethasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local atrophy, striae, telangiectasia, rare HPA suppression, hyperglycemia","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Fluticasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.05% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Clobetasol (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","44–88 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Mometasone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; potent anti-inflammatory","Eczema, psoriasis, dermatitis","0.1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Beclomethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; moderate anti-inflammatory","Allergic rhinitis, sinusitis","42–168 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Triamcinolone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Hydrocortisone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; mild anti-inflammatory","Allergic rhinitis, sinusitis","25–100 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Prednisolone (Dermatologic),Glucocorticoid,"Topical glucocorticoid; moderate anti-inflammatory","Eczema, psoriasis, dermatitis","0.1–1% cream BID-TID","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Topical,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local irritation, rare atrophy, striae, telangiectasia, rare HPA suppression","Skin exam, DEXA if chronic/large area, glucose, BP","FDA Label; AAD Guidelines 2021"
Dexamethasone (Nasal),Glucocorticoid,"Inhaled nasal glucocorticoid; potent local anti-inflammatory","Allergic rhinitis, sinusitis","40–80 mcg/day (nasal)","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Nasal,FDA-Approved,"T½: 3 hrs (local); Systemic: <1 hr","Local irritation, epistaxis, rare HPA suppression, mood changes","Nasal exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO-HNS Guidelines 2020"
Betamethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Fluticasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Clobetasol (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Higher potency increases HPA suppression risk equally across sexes but women show greater bone loss long-term,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Mometasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; potent anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower first-pass metabolism reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
Beclomethasone (Ophthalmic),Glucocorticoid,"Topical ocular glucocorticoid; moderate anti-inflammatory","Uveitis, post-op inflammation, keratitis","1% drops QID or BID tapering","Same ranges; women may show greater local efficacy & lower systemic absorption",Lower potency reduces HPA suppression risk equally across sexes,Ophthalmic,FDA-Approved,"T½: 2 hrs (local); Systemic: <1 hr","Local IOP elevation, cataracts, corneal thinning, rare HPA suppression","IOP, slit lamp exam, DEXA if chronic high dose, glucose, BP","FDA Label; AAO Guidelines 2020"
